source,url
大学图书馆学报,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEytNIJl885MiybvS6cCxNE9BdvzHtkVSD2PDHBbNZNmM2EbTq5UN9KzH1IEemZqWvV_vbTsqim44EJPtDG3zVOE5KYOVGRt7Ajw=&uniplatform=NZKPT
档案学通讯,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEys6lEMJiB5blUEcjpNktYFoIBLnx6Izeh5VMC6nytWjgz0Oa9ft0fHcQD1e5vJiFXWOqqyJWfrhkiQowf7eKZdmK5qqFOiT-NPV5aCBVTYXMA==&uniplatform=NZKPT&language=CHS
档案学研究,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEyvBshQ532xNG7dgUtAAgF1a9YNEOnGsAY70VvV4QahuI65848s9kVhXKJuxZ4OQk0tdpFW7Fccka_dL-72W4IfqKTLat7kww8JYwudQ9SwUPA==&uniplatform=NZKPT&language=CHS
国家图书馆学刊,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEyuBlaFNJJU-e-2yNTXtPZhrsbAeK7rFR-Cevy-6aL4y_G7Ff8NIQyWiHzXOGvqd1BYlrjWqvvsmd_EJTWiJsIEpxPVUWgU8idvEtASdS_o4HA==&uniplatform=NZKPT&language=CHS
情报科学,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEytrm8DF2Tw18c2ueq1xyJhI0CrMGSFERaFMsUCvJA4qmBAA1Dx2bM0HoMwWaj7KbYDlCzVOwhU34AXvYSV4bn5eGU8SFAUHiilg5wl3rw815Q==&uniplatform=NZKPT&language=CHS
情报理论与实践,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEyv_0qgVQd1aNwHwFMUP3pANTXrlmwxPGMvZBRUbPdm56H6kz_nrGFzwjImX2VvalMDRuHiTNC7UZcRPjLG3-DOAMx97ysVIkIKCZxzeGZnp4A==&uniplatform=NZKPT&language=CHS
情报学报,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEyvVLesF6oLPJOqjBXSYl25Ye72IBC-p55rQQyR4EmniZ34bTJukvSi6MQVndZdYSXcHV1HoJFU7q_7KUUv-FC8c9m6FKZu_LrmMmB17NX54Sg==&uniplatform=NZKPT&language=CHS
情报杂志,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEytAcvZHIwHdovdZpPcRYAROFmTBKa2N2Ut1L3XVwhghKG7e_NUa7y5h1fzJR5vaNhnO4ey8tU4sJQ2FIjRvRyg70OBhsgzTAiV0BBnz75_yTQ==&uniplatform=NZKPT&language=CHS
情报资料工作,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEysY7CoE7kF4bSu-it8V6470PopdfzwaC_AFQyuDNFOuV0cObNinrCxLYXaWQlEmTjPsF1VaOwQ6GD2Bdw7zz-oz0KvXmb3Y2w_LNAjWl1xZTA==&uniplatform=NZKPT&language=CHS
图书馆,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEytk_raH3FGlkRAbhKwIIelxzB_gT8T9zislw8F7bMokpuS_-E_4Zvn8WZqsB0zmo5VTtqZkWQM2VL3rHwTLTq2G_-HbYjffRtqHz91P0H4cng==&uniplatform=NZKPT&language=CHS
数据分析与知识发现,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEyvSI8jd5WYD6CbHkrD5T2aUF01SxEJaFEej1aA2ITcbFpVlcQdOwyj4IhYW61yh60OvtjQR21_7IVuZUfwYQ0El9XeiAqX6puCBf-t9f8Kp2w==&uniplatform=NZKPT&language=CHS
图书馆建设,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEyvB3Z0NU7X1xSCXNbOcPy86Uxs2sA_aIWZaRcwAiQpW3Q-93SRw8DQsdHdKewXb1x3LqsKhN5e_AQm5mtkBg-DFdQ02YCFuuai6FYT1TdeFHg==&uniplatform=NZKPT&language=CHS
图书馆论坛,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEysVMTQiwHsEfJqwL5MqnO_5ruclHw09wLNsCcSx2KNP0X5rVLbhBoIPw0uIimf5-J6okXPzonW8UDOhfHPj3moINmNfiOuhkTiPEOCnnaUkkw==&uniplatform=NZKPT&language=CHS
图书馆学研究,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEyvk7GG_mbQnaOvkDGmbqVNP0TBzuhpn8ozCL7uet6idJx1tYd_FNr1iatMMsmowJ9ApWJA4KTLuAMHXMJWtx1S6E3hrSS3yhTFc2WnuF_FaWg==&uniplatform=NZKPT&language=CHS
图书馆杂志,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEytKX620N7KtWdrpKOOmLtEG1CTh5MzLeqESCh9I3jNzAt8XNEt_yL6fZ1hDC9n577saOugzOBbxjlagKUJ8orsWNBxD_sYlWKDyNYnOFHs91A==&uniplatform=NZKPT&language=CHS
图书情报工作,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEyvPYCImtMC9ZT4bPD-W_F2mBtiNcjiGkR7REZ-K4vbpOSei8I9_j29db9a6mL3OK1FwTD65t8pPRAZdt2JwwNJH-mAGyXBnq-I4pO2Reo63Ng==&uniplatform=NZKPT&language=CHS
图书情报知识,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEysZDjhhMPIlyuUHb5Hs0I9RhPdabK79jiDJHLlcLo-W4NiJKz_kKs0Vdu41pLvR3TAezczLcvFAK4THkGdHXIoaEmh8-am6JyuCGmmLEL7FeQ==&uniplatform=NZKPT&language=CHS
图书与情报,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEyt3P7AH2FIN0waKdbSZoimgBnSswG7EqAVnjgCvpt9xBg8w1QBjq-3uVRxIgTIk2xFRPxk5JTpFHYe6_SECr_6LgJKoHNsQeskja3qzw2widw==&uniplatform=NZKPT&language=CHS
现代情报,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEys7aHcE75NvKlIl2tLb10waMEFqlcoMq9U3ZAUZgpZXSPl8Y0_StJtVInGZVSV4pPV3ImEsmry3P4e-N77SpepdvL_G2tNt9_eiaeCrPKXnng==&uniplatform=NZKPT&language=CHS
信息资源管理学报,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEys7p-I2RVrbezWW00oaPnj0rz20Ob3oyj3G_xJtSLXL7HdN6HCL3OuK4Ui8XDAAze_xRjhe3H_Ri5O6MU2-SzJ9kMWuWpjwnd4fYjZw5Lz6BQ==&uniplatform=NZKPT&language=CHS
中国图书馆学报,https://navi.cnki.net/knavi/detail?p=kXZTIw2bEysLF9GpIkoIbHDnCqN01o5hKJy5PReJCkTsgnpNu7m1lSRk4LZLQ_URz89Won_DfZknUEPQkPquw8EIwU74ROIQi6oWECuOP5annf_tz6giHA==&uniplatform=NZKPT&language=CHS
